date,lastnight.h,lastnight.m,ln,today.h,today.m,cut,today,lastsleep,deepsleep,dp.h,dp.m,starttime,s.h,s.m,holestudy,purestudy,rest,rate,holephone,goodphone,badtime
4/1,12,27,12.45,7,5,,7.083333333,6.633333333,2.60 ,2.00 ,36.00 ,8.016666667,8,1,7.05,5.95,1.1,1.18487395,338,41,4.95
4/2,11,53,11.88333333,6,55,,6.916666667,7.033333333,1.55 ,1.00 ,33.00 ,0,,,0,0,0,#DIV/0!,562,7,9.25
4/3,10,50,10.83333333,7,15,,7.25,8.416666667,2.07 ,2.00 ,4.00 ,12.83333333,12,50,5.283,3.917,1.366,1.348736278,619,0,10.31666667
4/4,10,20,10.33333333,7,18,,7.3,8.966666667,0.00 ,,,0,,,4.67,2.33,2.34,2.004291845,898,3,14.91666667
4/5,11,52,11.86666667,7,12,,7.2,7.333333333,2.53 ,2.00 ,32.00 ,7.766666667,7,46,6.417,5.404,1.013,1.187453738,391,61,5.5
4/6,12,42,12.7,7,17,,7.283333333,6.583333333,2.32 ,2.00 ,19.00 ,8.2,8,12,7.73,5.783,1.947,1.336676466,278,65,3.55
4/7,10,50,10.83333333,6,45,,6.75,7.916666667,2.52 ,2.00 ,31.00 ,7.533333333,7,32,9.583,6.05,3.533,1.583966942,442,54,6.466666667
4/8,9,29,9.483333333,5,36,2,5.6,8.083333333,2.47 ,2.00 ,28.00 ,7.816666667,7,49.00 ,8.9,6.593,2.307,1.349916578,6,0,0.1
4/9,10,36,10.6,6,37,,6.616666667,8.016666667,1.18 ,1.00 ,11.00 ,7.433333333,7,26.00 ,6,4.8,1.2,1.25,0,0,0
4/10,10,39,10.65,6,21,,6.35,7.7,2.02 ,2.00 ,1.00 ,7.2,7,12.00 ,9.117,6.975,2.142,1.307096774,192,26,2.766666667
4/11,10,24,10.4,6,52,,6.866666667,8.466666667,2.38 ,2.00 ,23.00 ,7.783333333,7,47.00 ,3,2.25,0.75,1.333333333,161,0,2.683333333
4/12,10,51,10.85,7,6,,7.1,8.25,2.42 ,2.00 ,25.00 ,7.816666667,7,49.00 ,5.95,4.9,1.05,1.214285714,216,42,2.9
4/13,10,41,10.68333333,6,29,,6.483333333,7.8,1.88 ,1.00 ,53.00 ,7.45,7,27.00 ,10.02 ,9.75 ,0.267,1.027384615,280,78,3.366666667
4/14,10,33,10.55,7,0,,7,8.45,3.10 ,3.00 ,6.00 ,8.85,8,51.00 ,8.65,7.33,1.32,1.180081855,482,70,6.866666667
4/15,11,7,11.11666667,6,25,,6.416666667,7.3,2.35,2,21,8.65,8,39,6,2.4,3.6,2.5,554,5,9.15
4/16,13,33,13.55,6,3,,6.05,4.5,1.766666667,1,46,8.733333333,8,44,9.633,7.75,1.883,1.242967742,352,14,5.633333333
4/17,10,43,10.71666667,6,40,1.183333333,6.666666667,7.930277778,1.15,1,9,8.45,8,27,8.117,6.283,1.834,1.291898774,542,55,8.116666667
4/18,11,31,11.51666667,6,43,,6.716666667,7.2,1.933333333,1,56,7.7,7,42,3,2.1375,0.8625,1.403508772,440,0,7.333333333
4/19,11,37,11.61666667,7,0,,7,7.383333333,1.5,1,30,7.783333333,7,47,5.75,4.617,1.133,1.245397444,451,22,7.15
4/20,11,28,11.46666667,6,14,,6.233333333,6.766666667,1.233333333,1,14,9.733333333,9,44,6.367,6.142,0.225,1.036633019,582,63,8.65
4/21,10,30,10.5,6,55,,6.916666667,8.416666667,,,,7.566666667,7,34,9.617,7.4083,2.2087,1.298138574,425,76,5.816666667
4/22,10,43,10.71666667,6,23,,6.383333333,7.666666667,1.47 ,1.00 ,28.00 ,8.766666667,8,46.00 ,0.73 ,0.63 ,0.1,1.157894737,514.00 ,30.00 ,8.066666667
4/23,12,2,12.03333333,6,39,,6.65,6.616666667,2.50 ,2.00 ,30.00 ,8.566666667,8,34.00 ,2.00 ,2.00 ,0,1,621.00 ,11.00 ,10.16666667
4/24,11,17,11.28333333,6,19,,6.316666667,7.033333333,2.25 ,2.00 ,15.00 ,7.733333333,7,44.00 ,8.95 ,7.60 ,1.35,1.177631579,388.00 ,69.00 ,5.316666667
4/25,11,19,11.31666667,6,34,,6.566666667,7.25,1.62 ,1.00 ,37.00 ,7.916666667,7,55.00 ,7.85 ,1.15 ,6.7,6.826086957,393.00 ,1.00 ,6.533333333
4/26,12,31,12.51666667,6,54,,6.9,6.383333333,1.47 ,1.00 ,28.00 ,7.866666667,7,52.00 ,5.78 ,4.57 ,1.2105,1.264734828,447.00 ,1.00 ,7.433333333
4/27,11,43,11.71666667,7,5,,7.083333333,7.366666667,2.58 ,2.00 ,35.00 ,8.466666667,8,28.00 ,0.00 ,0.00 ,0,#DIV/0!,671.00 ,3.00 ,11.13333333
4/28,10,35,10.58333333,5,57,,5.95,7.366666667,1.85 ,1.00 ,51.00 ,9.9,9,54.00 ,0.00 ,0.00 ,0,#DIV/0!,621.00 ,2.00 ,10.31666667
4/29,11,28,11.46666667,7,14,,7.233333333,7.766666667,2.25,2,15,8.366666667,8,22,0,0,0,#DIV/0!,1,0,0.016666667
4/30,10,15,10.25,6,51,0.633333333,6.85,8.589444444,2.23,2,14,7.8,7,48,0.5,0.43,0.075,1.176470588,119,2,1.95
5/1,11,3,11.05,6,7,,6.116666667,7.066666667,1.92,1,55,10.98333333,10,59,0,0,0,#DIV/0!,485,3,8.033333333
5/2,11,2,11.03333333,3,13,0.316666667,3.216666667,4.178055556,0.17,0,10,6.3,6,18,5,3.95,1.05,1.265822785,463,3,7.666666667
5/3,11,32,11.53333333,6,8,,6.133333333,6.6,1.82,1,49,6.75,6,45,10.73,9.13,1.6,1.17524644,293,0,4.883333333
